Ordner                                                                                                                                                                                              |         MB |        Bytes
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx\debug\2k2b5h51\logs\x86_64                                                                                                       |       0.01 |       13,862
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\packageDebug                                                                                                             |       0.01 |       12,625
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\packageDebug\tmp                                                                                                         |       0.01 |       12,625
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\packageDebug\tmp\debug                                                                                                   |       0.01 |       12,625
flutter\exercises\bibliothek_dashboard\android\app                                                                                                                                                  |       0.01 |       12,238
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3\CompilerIdCXX\Debug                                                                                                 |       0.01 |       11,901
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\packageDebug\tmp\debug\zip-cache                                                                                         |       0.01 |       11,653
flutter\exercises\bibliothek_dashboard\lib                                                                                                                                                          |       0.01 |       10,979
flutter\exercises\bibliothek_dashboard\android\app\src                                                                                                                                              |       0.01 |       10,782
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compressed_assets\debug\compressDebugAssets\out\assets\flutter_assets\shaders                                                        |       0.01 |       10,574
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifest                                                                                                                      |       0.01 |       10,082
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifest\debug                                                                                                                |       0.01 |       10,082
flutter\exercises\bibliothek_dashboard\android\app\src\main                                                                                                                                         |       0.01 |       10,012
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3\CompilerIdCXX\Debug\CompilerIdCXX.tlog                                                                              |       0.01 |        9,035
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\x64                                                                                                                                |       0.01 |        8,721
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\x64\Debug                                                                                                                          |       0.01 |        8,721
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\x64\Debug\flutter_assemble                                                                                                         |       0.01 |        8,721
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\x64\Debug\flutter_assemble\flutter_assemble.tlog                                                                                   |       0.01 |        8,120
flutter\exercises\bibliothek_dashboard\build\app\intermediates\symbol_list_with_package_name                                                                                                        |       0.01 |        8,019
flutter\exercises\bibliothek_dashboard\build\app\intermediates\symbol_list_with_package_name\debug                                                                                                  |       0.01 |        8,019
flutter\exercises\bibliothek_dashboard\build\app\intermediates\symbol_list_with_package_name\debug\processDebugResources                                                                            |       0.01 |        8,019
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\packageDebugResources                                                                                              |       0.01 |        7,441
flutter\exercises\bibliothek_dashboard\linux\runner                                                                                                                                                 |       0.01 |        7,285
flutter\exercises\bibliothek_dashboard\android\app\src\main\res                                                                                                                                     |       0.01 |        7,104
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res                                                                                                                         |       0.01 |        5,457
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug                                                                                                                   |       0.01 |        5,457
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources                                                                                             |       0.01 |        5,457
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_manifests                                                                                                                   |       0.01 |        5,446
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_manifests\debug                                                                                                             |       0.01 |        5,446
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_manifests\debug\processDebugManifestForPackage                                                                              |       0.01 |        5,446
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifests                                                                                                                     |       0.01 |        5,444
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifests\debug                                                                                                               |       0.01 |        5,444
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifests\debug\processDebugManifest                                                                                          |       0.01 |        5,444
flutter\exercises\bibliothek_dashboard\build\app\intermediates\source_set_path_map                                                                                                                  |       0.01 |        5,390
flutter\exercises\bibliothek_dashboard\build\app\intermediates\source_set_path_map\debug                                                                                                            |       0.01 |        5,390
flutter\exercises\bibliothek_dashboard\build\app\intermediates\source_set_path_map\debug\mapDebugSourceSetPaths                                                                                     |       0.01 |        5,390
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifest\debug\outputDebugAppLinkSettings                                                                                     |       0.00 |        5,041
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_manifest\debug\processDebugMainManifest                                                                                       |       0.00 |        5,041
flutter\exercises\bibliothek_dashboard\linux\flutter                                                                                                                                                |       0.00 |        4,106
flutter\exercises\bibliothek_dashboard\ios\Runner\Base.lproj                                                                                                                                        |       0.00 |        4,045
flutter\exercises\bibliothek_dashboard\ios\Runner.xcodeproj\xcshareddata                                                                                                                            |       0.00 |        3,934
flutter\exercises\bibliothek_dashboard\ios\Runner.xcodeproj\xcshareddata\xcschemes                                                                                                                  |       0.00 |        3,934
flutter\exercises\bibliothek_dashboard\.idea                                                                                                                                                        |       0.00 |        3,902
flutter\exercises\bibliothek_dashboard\macos\Runner.xcodeproj\xcshareddata                                                                                                                          |       0.00 |        3,838
flutter\exercises\bibliothek_dashboard\macos\Runner.xcodeproj\xcshareddata\xcschemes                                                                                                                |       0.00 |        3,838
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\classpath-snapshot                                                                                                       |       0.00 |        3,505
flutter\exercises\bibliothek_dashboard\ios\Flutter                                                                                                                                                  |       0.00 |        3,338
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-en-rXC                                                                       |       0.00 |        3,318
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Session Storage                                                                                                             |       0.00 |        2,982
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\GCM Store                                                                                                                   |       0.00 |        2,621
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug\INSTALL                                                                                                                          |       0.00 |        2,397
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\shared_proto_db\metadata                                                                                                    |       0.00 |        2,185
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Service Worker\Database                                                                                                     |       0.00 |        2,168
flutter\exercises\bibliothek_dashboard\build\app\intermediates\desugar_graph                                                                                                                        |       0.00 |        1,880
flutter\exercises\bibliothek_dashboard\build\app\intermediates\desugar_graph\debug                                                                                                                  |       0.00 |        1,880
flutter\exercises\bibliothek_dashboard\build\app\intermediates\desugar_graph\debug\dexBuilderDebug                                                                                                  |       0.00 |        1,880
flutter\exercises\bibliothek_dashboard\build\app\intermediates\desugar_graph\debug\dexBuilderDebug\out                                                                                              |       0.00 |        1,880
flutter\exercises\bibliothek_dashboard\build\app\intermediates\desugar_graph\debug\dexBuilderDebug\out\currentProject                                                                               |       0.00 |        1,880
flutter\exercises\bibliothek_dashboard\build\54ab65c7d027b85d7931528ec9b9680c                                                                                                                       |       0.00 |        1,759
flutter\exercises\bibliothek_dashboard\.idea\libraries                                                                                                                                              |       0.00 |        1,628
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Extension State                                                                                                             |       0.00 |        1,557
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\mipmap-xxxhdpi                                                                                                                      |       0.00 |        1,443
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources\mipmap-xxxhdpi-v4                                                                           |       0.00 |        1,443
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Site Characteristics Database                                                                                               |       0.00 |        1,398
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-v21                                                                          |       0.00 |        1,396
flutter\exercises\bibliothek_dashboard\macos\Runner\Configs                                                                                                                                         |       0.00 |        1,393
flutter\exercises\bibliothek_dashboard\ios\Flutter\ephemeral                                                                                                                                        |       0.00 |        1,384
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res_blame_folder\debug\mergeDebugResources\out\single                                                                         |       0.00 |        1,276
flutter\exercises\bibliothek_dashboard\macos\Flutter                                                                                                                                                |       0.00 |        1,248
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug\INSTALL\INSTALL.tlog                                                                                                             |       0.00 |        1,159
flutter\exercises\bibliothek_dashboard\test                                                                                                                                                         |       0.00 |        1,118
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out\io                                                                                     |       0.00 |        1,116
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out\io\flutter                                                                             |       0.00 |        1,116
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out\io\flutter\plugins                                                                     |       0.00 |        1,116
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-te                                                                           |       0.00 |        1,114
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-as                                                                           |       0.00 |        1,110
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-my                                                                           |       0.00 |        1,110
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Extension Scripts                                                                                                           |       0.00 |        1,109
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ta                                                                           |       0.00 |        1,106
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-hi                                                                           |       0.00 |        1,103
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-kn                                                                           |       0.00 |        1,103
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Extension Rules                                                                                                             |       0.00 |        1,101
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ml                                                                           |       0.00 |        1,077
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-or                                                                           |       0.00 |        1,067
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-mr                                                                           |       0.00 |        1,060
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-si                                                                           |       0.00 |        1,056
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-pa                                                                           |       0.00 |        1,055
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-bn                                                                           |       0.00 |        1,051
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ka                                                                           |       0.00 |        1,044
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-km                                                                           |       0.00 |        1,043
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ne                                                                           |       0.00 |        1,032
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\mipmap-xxhdpi                                                                                                                       |       0.00 |        1,031
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources\mipmap-xxhdpi-v4                                                                            |       0.00 |        1,031
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-th                                                                           |       0.00 |        1,025
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-gu                                                                           |       0.00 |        1,020
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\values                                                                                                                              |       0.00 |        1,014
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\values-night                                                                                                                        |       0.00 |        1,013
flutter\exercises\bibliothek_dashboard\macos\Flutter\ephemeral                                                                                                                                      |       0.00 |        1,003
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Sync Data                                                                                                                   |       0.00 |          999
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Sync Data\LevelDB                                                                                                           |       0.00 |          999
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-bg                                                                           |       0.00 |          999
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-lo                                                                           |       0.00 |          998
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-el                                                                           |       0.00 |          987
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-mn                                                                           |       0.00 |          986
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-be                                                                           |       0.00 |          980
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ky                                                                           |       0.00 |          977
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ru                                                                           |       0.00 |          972
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-uk                                                                           |       0.00 |          970
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-sr                                                                           |       0.00 |          966
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-fa                                                                           |       0.00 |          960
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-hy                                                                           |       0.00 |          958
flutter\exercises\bibliothek_dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                              |       0.00 |          958
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-mk                                                                           |       0.00 |          955
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ur                                                                           |       0.00 |          953
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-kk                                                                           |       0.00 |          946
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Local Storage                                                                                                               |       0.00 |          943
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Local Storage\leveldb                                                                                                       |       0.00 |          943
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ar                                                                           |       0.00 |          940
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex\debug\mergeProjectDexDebug\1                                                                                                     |       0.00 |          936
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-vi                                                                           |       0.00 |          932
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-am                                                                           |       0.00 |          929
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\mergeDebugAssets                                                                                                         |       0.00 |          919
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-lt                                                                           |       0.00 |          918
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-pl                                                                           |       0.00 |          913
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex\debug\mergeProjectDexDebug\14                                                                                                    |       0.00 |          912
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-iw                                                                           |       0.00 |          912
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out\com                                                                                    |       0.00 |          912
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out\com\example                                                                            |       0.00 |          912
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out\com\example\bibliothek_dashboard                                                       |       0.00 |          912
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-cs                                                                           |       0.00 |          911
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-it                                                                           |       0.00 |          911
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-sk                                                                           |       0.00 |          910
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-sq                                                                           |       0.00 |          909
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-lv                                                                           |       0.00 |          907
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ms                                                                           |       0.00 |          907
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-az                                                                           |       0.00 |          905
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-hu                                                                           |       0.00 |          903
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-fi                                                                           |       0.00 |          902
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-pt                                                                           |       0.00 |          902
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-pt-rBR                                                                       |       0.00 |          902
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-uz                                                                           |       0.00 |          900
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-et                                                                           |       0.00 |          899
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-pt-rPT                                                                       |       0.00 |          899
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-nl                                                                           |       0.00 |          898
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-tl                                                                           |       0.00 |          898
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ca                                                                           |       0.00 |          897
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-es                                                                           |       0.00 |          897
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ko                                                                           |       0.00 |          897
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ro                                                                           |       0.00 |          897
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-af                                                                           |       0.00 |          896
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-da                                                                           |       0.00 |          896
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-de                                                                           |       0.00 |          896
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-es-rUS                                                                       |       0.00 |          896
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-sv                                                                           |       0.00 |          896
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-eu                                                                           |       0.00 |          895
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-in                                                                           |       0.00 |          894
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-zu                                                                           |       0.00 |          894
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-fr                                                                           |       0.00 |          893
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-gl                                                                           |       0.00 |          893
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-nb                                                                           |       0.00 |          893
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\GCM Store\Encryption                                                                                                        |       0.00 |          890
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-b+sr+Latn                                                                    |       0.00 |          890
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-hr                                                                           |       0.00 |          890
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-bs                                                                           |       0.00 |          889
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-fr-rCA                                                                       |       0.00 |          889
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-is                                                                           |       0.00 |          888
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-ja                                                                           |       0.00 |          887
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-sl                                                                           |       0.00 |          887
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-sw                                                                           |       0.00 |          887
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-en-rAU                                                                       |       0.00 |          883
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-en-rGB                                                                       |       0.00 |          883
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-en-rIN                                                                       |       0.00 |          883
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-en-rCA                                                                       |       0.00 |          882
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-tr                                                                           |       0.00 |          881
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-zh-rCN                                                                       |       0.00 |          872
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-zh-rHK                                                                       |       0.00 |          863
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-zh-rTW                                                                       |       0.00 |          863
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\packageDebugResources\merged.dir                                                                                   |       0.00 |          826
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac                                                                                                                                |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac\debug                                                                                                                          |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac\debug\compileDebugJavaWithJavac                                                                                                |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac\debug\compileDebugJavaWithJavac\classes                                                                                        |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac\debug\compileDebugJavaWithJavac\classes\io                                                                                     |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac\debug\compileDebugJavaWithJavac\classes\io\flutter                                                                             |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\javac\debug\compileDebugJavaWithJavac\classes\io\flutter\plugins                                                                     |       0.00 |          766
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\mergeDebugJniLibFolders                                                                                                  |       0.00 |          762
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\mipmap-xhdpi                                                                                                                        |       0.00 |          721
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources\mipmap-xhdpi-v4                                                                             |       0.00 |          721
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3\VCTargetsPath                                                                                                       |       0.00 |          713
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3\VCTargetsPath\x64                                                                                                   |       0.00 |          713
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3\VCTargetsPath\x64\Debug                                                                                             |       0.00 |          713
flutter\exercises\bibliothek_dashboard\ios\Runner.xcworkspace                                                                                                                                       |       0.00 |          639
flutter\exercises\bibliothek_dashboard\build\app\tmp\kotlin-classes                                                                                                                                 |       0.00 |          633
flutter\exercises\bibliothek_dashboard\build\app\tmp\kotlin-classes\debug                                                                                                                           |       0.00 |          633
flutter\exercises\bibliothek_dashboard\ios\Runner.xcodeproj\project.xcworkspace                                                                                                                     |       0.00 |          622
flutter\exercises\bibliothek_dashboard\build\app\tmp\kotlin-classes\debug\com                                                                                                                       |       0.00 |          609
flutter\exercises\bibliothek_dashboard\build\app\tmp\kotlin-classes\debug\com\example                                                                                                               |       0.00 |          609
flutter\exercises\bibliothek_dashboard\build\app\tmp\kotlin-classes\debug\com\example\bibliothek_dashboard                                                                                          |       0.00 |          609
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\mergeDebugShaders                                                                                                        |       0.00 |          608
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\mipmap-hdpi                                                                                                                         |       0.00 |          544
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources\mipmap-hdpi-v4                                                                              |       0.00 |          544
flutter\exercises\bibliothek_dashboard\android\app\src\main\java                                                                                                                                    |       0.00 |          516
flutter\exercises\bibliothek_dashboard\android\app\src\main\java\io                                                                                                                                 |       0.00 |          516
flutter\exercises\bibliothek_dashboard\android\app\src\main\java\io\flutter                                                                                                                         |       0.00 |          516
flutter\exercises\bibliothek_dashboard\android\app\src\main\java\io\flutter\plugins                                                                                                                 |       0.00 |          516
flutter\exercises\bibliothek_dashboard\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                                                        |       0.00 |          480
flutter\exercises\bibliothek_dashboard\ios\Runner.xcworkspace\xcshareddata                                                                                                                          |       0.00 |          480
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex_archive_input_jar_hashes                                                                                                         |       0.00 |          469
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex_archive_input_jar_hashes\debug                                                                                                   |       0.00 |          469
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex_archive_input_jar_hashes\debug\dexBuilderDebug                                                                                   |       0.00 |          469
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\drawable-v21                                                                                                                        |       0.00 |          450
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources\drawable-v21                                                                                |       0.00 |          450
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\drawable                                                                                                                            |       0.00 |          446
flutter\exercises\bibliothek_dashboard\android\app\src\main\res\mipmap-mdpi                                                                                                                         |       0.00 |          442
flutter\exercises\bibliothek_dashboard\build\app\intermediates\packaged_res\debug\packageDebugResources\mipmap-mdpi-v4                                                                              |       0.00 |          442
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values-night-v8                                                                     |       0.00 |          413
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\packageDebugResources\merged.dir\values                                                                            |       0.00 |          413
