Ordner                                                                                                                                                                                              |         MB |        Bytes
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\flutter_wrapper_app.dir\Debug                                                                                                      |       8.18 |    8,572,730
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\flutter_wrapper_plugin.dir                                                                                                         |       8.12 |    8,510,935
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\flutter_wrapper_plugin.dir\Debug                                                                                                   |       8.12 |    8,510,935
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\bibliothek_dashboard.dir                                                                                                            |       7.25 |    7,597,636
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\bibliothek_dashboard.dir\Debug                                                                                                      |       7.25 |    7,597,636
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex                                                                                                                                  |       6.77 |    7,100,136
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex\debug                                                                                                                            |       6.77 |    7,100,136
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex\debug\mergeExtDexDebug                                                                                                           |       6.74 |    7,062,844
flutter\exercises\bibliothek_dashboard\build\flutter_assets                                                                                                                                         |       3.10 |    3,245,541
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device                                                                                                                                     |       1.63 |    1,710,264
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default                                                                                                                             |       1.63 |    1,710,264
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets\flutter_assets\fonts                                                                                   |       1.57 |    1,645,184
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug\flutter_assets\fonts                                                                                                   |       1.57 |    1,645,184
flutter\exercises\bibliothek_dashboard\build\flutter_assets\fonts                                                                                                                                   |       1.57 |    1,645,184
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data\flutter_assets\fonts                                                                                                     |       1.57 |    1,645,184
flutter\exercises\bibliothek_dashboard\android                                                                                                                                                      |       0.90 |      948,719
flutter\exercises\bibliothek_dashboard\android\.gradle                                                                                                                                              |       0.83 |      871,785
flutter\exercises\bibliothek_dashboard\android\.gradle\8.14                                                                                                                                         |       0.81 |      848,405
flutter\exercises\bibliothek_dashboard\build\.cxx                                                                                                                                                   |       0.67 |      701,711
flutter\exercises\bibliothek_dashboard\build\.cxx\debug                                                                                                                                             |       0.67 |      701,711
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51                                                                                                                                    |       0.67 |      701,711
flutter\exercises\bibliothek_dashboard\android\.gradle\8.14\executionHistory                                                                                                                        |       0.65 |      683,670
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compressed_assets\debug\compressDebugAssets\out\assets\flutter_assets\fonts                                                          |       0.57 |      593,250
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\shared_proto_db                                                                                                             |       0.56 |      586,943
flutter\exercises\bibliothek_dashboard\build\app\kotlin                                                                                                                                             |       0.40 |      423,201
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin                                                                                                                          |       0.40 |      423,201
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\cacheable                                                                                                                |       0.40 |      419,696
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\cacheable\caches-jvm                                                                                                     |       0.40 |      419,678
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\cacheable\caches-jvm\jvm                                                                                                 |       0.27 |      287,939
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\cacheable\caches-jvm\jvm\kotlin                                                                                          |       0.27 |      287,939
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\bibliothek_dashboard.dir\Debug\biblioth.7185B362.tlog                                                                               |       0.25 |      257,717
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets\flutter_assets\packages                                                                                |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets\flutter_assets\packages\cupertino_icons                                                                |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets\flutter_assets\packages\cupertino_icons\assets                                                         |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug\flutter_assets\packages                                                                                                |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug\flutter_assets\packages\cupertino_icons                                                                                |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug\flutter_assets\packages\cupertino_icons\assets                                                                         |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\flutter_assets\packages                                                                                                                                |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\flutter_assets\packages\cupertino_icons                                                                                                                |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\flutter_assets\packages\cupertino_icons\assets                                                                                                         |       0.25 |      257,628
